序列(Payload),序列位置,序列长度,来源reads编号及方向,Witness值,Witness阈值
null,21,8122,+0;,352,390
null,21,8124,+0;,341,390
null,22,8123,+0;,340,390
null,22,8122,+0;,347,390
null,22,8124,+0;,340,390
null,23,8123,+0;,347,390
null,23,8122,+0;,346,390
null,23,8124,+0;,343,390
null,24,8123,+0;,344,390
null,24,8122,+0;,348,390
null,24,8124,+0;,353,390
null,25,8123,+0;,348,390
null,25,8122,+0;,341,390
null,25,8124,+0;,348,390
null,26,8123,+0;,349,390
null,26,8122,+0;,351,390
null,26,8124,+0;,349,390
null,27,8123,+0;,348,390
null,27,8122,+0;,348,390
null,27,8124,+0;,348,390
null,28,8123,+0;,351,390
null,28,8122,+0;,351,390
null,28,8124,+0;,343,390
null,29,8123,+0;,343,390
null,29,8122,+0;,351,390
null,29,8124,+0;,343,390
null,30,8123,+0;,350,390
null,30,8122,+0;,350,390
null,30,8124,+0;,348,390
null,31,8123,+0;,350,390
null,31,8122,+0;,352,390
null,31,8124,+0;,351,390
null,32,8123,+0;,353,390
null,32,8122,+0;,352,390
null,32,8124,+0;,348,390
null,33,8123,+0;,343,390
null,33,8122,+0;,350,390
null,33,8124,+0;,345,390
null,34,8123,+0;,346,390
null,34,8122,+0;,342,390
null,34,8124,+0;,349,390
null,35,8123,+0;,355,390
null,35,8122,+0;,352,390
null,35,8124,+0;,354,390
null,36,8123,+0;,349,390
null,36,8122,+0;,350,390
null,36,8124,+0;,352,390
null,37,8123,+0;,349,390
null,37,8122,+0;,346,390
null,37,8124,+0;,346,390
null,38,8123,+0;,346,390
null,38,8122,+0;,350,390
null,38,8124,+0;,347,390
null,39,8123,+0;,351,390
null,39,8122,+0;,350,390
null,39,8124,+0;,348,390
null,40,8123,+0;,345,390
null,40,8122,+0;,349,390
null,40,8124,+0;,343,390
null,41,8123,+0;,342,390
null,41,8122,+0;,343,390
null,41,8124,+0;,342,390
null,42,8123,+0;,341,390
null,42,8122,+0;,341,390
null,42,8124,+0;,344,390
null,43,8123,+0;,343,390
null,43,8122,+0;,340,390
null,43,8124,+0;,341,390
null,44,8123,+0;,340,390
null,44,8122,+0;,342,390
null,44,8124,+0;,336,390
null,45,8123,+0;,335,390
null,45,8122,+0;,339,390
null,45,8124,+0;,328,390
null,46,8123,+0;,326,390
null,46,8122,+0;,333,390
null,46,8124,+0;,323,390
null,47,8123,+0;,328,390
null,47,8122,+0;,331,390
null,47,8124,+0;,331,390
null,48,8123,+0;,332,390
null,48,8122,+0;,329,390
null,48,8124,+0;,332,390
null,49,8123,+0;,328,390
null,49,8122,+0;,328,390
null,49,8124,+0;,329,390
null,50,8123,+0;,327,390
null,50,8122,+0;,326,390
null,50,8124,+0;,331,390
null,51,8123,+0;,339,390
null,51,8122,+0;,335,390
null,51,8124,+0;,341,390
null,52,8123,+0;,338,390
null,52,8122,+0;,336,390
null,52,8124,+0;,345,390
null,53,8123,+0;,344,390
null,53,8122,+0;,337,390
null,53,8124,+0;,346,390
null,54,8123,+0;,345,390
null,54,8122,+0;,343,390
null,54,8124,+0;,338,390
null,55,8123,+0;,336,390
null,55,8122,+0;,343,390
null,55,8124,+0;,341,390
null,56,8123,+0;,344,390
null,56,8122,+0;,339,390
null,56,8124,+0;,350,390
null,57,8123,+0;,350,390
null,57,8122,+0;,344,390
null,57,8124,+0;,346,390
null,58,8123,+0;,344,390
null,58,8122,+0;,348,390
null,58,8124,+0;,349,390
null,59,8123,+0;,350,390
null,59,8122,+0;,343,390
null,59,8124,+0;,355,390
null,60,8123,+0;,358,390
null,60,8122,+0;,353,390
null,60,8124,+0;,359,390
null,61,8123,+0;,359,390
null,61,8122,+0;,359,390
null,61,8124,+0;,355,390
null,62,8123,+0;,354,390
null,62,8122,+0;,357,390
null,62,8124,+0;,360,390
null,63,8123,+0;,354,390
null,63,8122,+0;,349,390
null,63,8124,+0;,355,390
null,64,8123,+0;,353,390
null,64,8122,+0;,352,390
null,64,8124,+0;,361,390
null,65,8123,+0;,360,390
null,65,8122,+0;,352,390
null,65,8124,+0;,359,390
null,66,8123,+0;,358,390
null,66,8122,+0;,359,390
null,66,8124,+0;,352,390
null,67,8123,+0;,359,390
null,67,8122,+0;,363,390
null,67,8124,+0;,358,390
null,68,8123,+0;,354,390
null,68,8122,+0;,355,390
null,68,8124,+0;,359,390
null,69,8123,+0;,353,390
null,69,8122,+0;,349,390
null,69,8124,+0;,351,390
null,70,8123,+0;,350,390
null,70,8122,+0;,351,390
null,70,8124,+0;,351,390
null,71,8123,+0;,349,390
null,71,8122,+0;,348,390
null,71,8124,+0;,351,390
null,72,8123,+0;,351,390
null,72,8122,+0;,349,390
null,72,8124,+0;,349,390
null,73,8123,+0;,343,390
null,73,8122,+0;,347,390
null,73,8124,+0;,346,390
null,74,8123,+0;,344,390
null,74,8122,+0;,341,390
null,74,8124,+0;,338,390
null,75,8123,+0;,348,390
null,75,8122,+0;,354,390
null,75,8124,+0;,351,390
null,76,8123,+0;,348,390
null,76,8122,+0;,346,390
null,76,8124,+0;,354,390
null,77,8123,+0;,358,390
null,77,8122,+0;,352,390
null,77,8124,+0;,359,390
null,78,8123,+0;,363,390
null,78,8122,+0;,362,390
null,78,8124,+0;,359,390
null,79,8123,+0;,354,390
null,79,8122,+0;,359,390
null,79,8124,+0;,349,390
null,80,8123,+0;,349,390
null,80,8122,+0;,354,390
null,80,8124,+0;,348,390
null,81,8123,+0;,345,390
null,81,8122,+0;,346,390
null,81,8124,+0;,343,390
null,82,8123,+0;,343,390
null,82,8122,+0;,344,390
null,82,8124,+0;,341,390
null,83,8123,+0;,338,390
null,83,8122,+0;,340,390
null,83,8124,+0;,336,390
null,84,8123,+0;,333,390
null,84,8122,+0;,336,390
null,84,8124,+0;,338,390
null,85,8123,+0;,341,390
null,85,8122,+0;,338,390
null,85,8124,+0;,337,390
null,86,8123,+0;,338,390
null,86,8122,+0;,341,390
null,86,8124,+0;,333,390
null,87,8123,+0;,334,390
null,87,8122,+0;,339,390
null,87,8124,+0;,333,390
null,88,8123,+0;,334,390
null,88,8122,+0;,335,390
null,88,8124,+0;,339,390
null,89,8123,+0;,341,390
null,89,8122,+0;,335,390
null,89,8124,+0;,343,390
null,90,8123,+0;,345,390
null,90,8122,+0;,343,390
null,90,8124,+0;,349,390
null,91,8123,+0;,345,390
null,91,8122,+0;,341,390
null,91,8124,+0;,347,390
null,92,8123,+0;,346,390
null,92,8122,+0;,344,390
null,92,8124,+0;,348,390
null,93,8123,+0;,344,390
null,93,8122,+0;,342,390
null,93,8124,+0;,336,390
null,94,8123,+0;,343,390
null,94,8122,+0;,348,390
null,94,8124,+0;,344,390
null,95,8123,+0;,349,390
null,95,8122,+0;,349,390
null,95,8124,+0;,351,390
null,96,8123,+0;,347,390
null,96,8122,+0;,345,390
null,96,8124,+0;,348,390
null,97,8123,+0;,347,390
null,97,8122,+0;,347,390
null,97,8124,+0;,344,390
null,98,8123,+0;,339,390
null,98,8122,+0;,341,390
null,98,8124,+0;,343,390
null,99,8123,+0;,345,390
null,99,8122,+0;,341,390
null,99,8124,+0;,344,390
null,100,8123,+0;,339,390
null,100,8122,+0;,340,390
null,100,8124,+0;,340,390
null,101,8123,+0;,341,390
null,101,8122,+0;,340,390
null,101,8124,+0;,338,390
null,102,8123,+0;,338,390
null,102,8122,+0;,342,390
null,102,8124,+0;,340,390
null,103,8123,+0;,343,390
null,103,8122,+0;,341,390
null,103,8124,+0;,345,390
null,104,8123,+0;,349,390
null,104,8122,+0;,347,390
null,104,8124,+0;,345,390
null,105,8123,+0;,352,390
null,105,8122,+0;,356,390
null,105,8124,+0;,347,390
null,106,8123,+0;,347,390
null,106,8122,+0;,352,390
null,106,8124,+0;,352,390
null,107,8123,+0;,357,390
null,107,8122,+0;,351,390
null,107,8124,+0;,355,390
null,108,8123,+0;,354,390
null,108,8122,+0;,356,390
null,108,8124,+0;,355,390
null,109,8123,+0;,353,390
null,109,8122,+0;,352,390
null,109,8124,+0;,352,390
null,110,8123,+0;,352,390
null,110,8122,+0;,353,390
null,110,8124,+0;,346,390
null,111,8123,+0;,346,390
null,111,8122,+0;,352,390
null,111,8124,+0;,344,390
null,112,8123,+0;,343,390
null,112,8122,+0;,345,390
null,112,8124,+0;,341,390
null,113,8123,+0;,343,390
null,113,8122,+0;,345,390
null,113,8124,+0;,345,390
null,114,8123,+0;,346,390
null,114,8122,+0;,343,390
null,114,8124,+0;,348,390
null,115,8123,+0;,347,390
null,115,8122,+0;,345,390
null,115,8124,+0;,343,390
null,116,8123,+0;,345,390
null,116,8122,+0;,349,390
null,116,8124,+0;,346,390
null,117,8123,+0;,346,390
null,117,8122,+0;,346,390
null,117,8124,+0;,347,390
null,118,8123,+0;,348,390
null,118,8122,+0;,349,390
null,118,8124,+0;,344,390
null,119,8123,+0;,341,390
null,119,8122,+0;,346,390
null,119,8124,+0;,340,390
null,120,8123,+0;,337,390
null,120,8122,+0;,339,390
null,120,8124,+0;,343,390
null,121,8123,+0;,343,390
null,121,8122,+0;,338,390
null,121,8124,+0;,344,390
null,122,8123,+0;,345,390
null,122,8122,+0;,344,390
null,122,8124,+0;,341,390
null,123,8123,+0;,340,390
null,123,8122,+0;,344,390
null,123,8124,+0;,344,390
null,124,8123,+0;,341,390
null,124,8122,+0;,337,390
null,124,8124,+0;,343,390
null,125,8123,+0;,346,390
null,125,8122,+0;,344,390
null,125,8124,+0;,349,390
null,126,8123,+0;,348,390
null,126,8122,+0;,345,390
null,126,8124,+0;,347,390
null,127,8123,+0;,347,390
null,127,8122,+0;,347,390
null,127,8124,+0;,353,390
null,128,8123,+0;,353,390
null,128,8122,+0;,347,390
null,128,8124,+0;,349,390
null,129,8123,+0;,351,390
null,129,8122,+0;,355,390
null,129,8124,+0;,350,390
null,130,8123,+0;,346,390
null,130,8122,+0;,347,390
null,130,8124,+0;,339,390
null,131,8123,+0;,340,390
null,131,8122,+0;,347,390
null,131,8124,+0;,343,390
null,132,8123,+0;,338,390
null,132,8122,+0;,337,390
null,132,8124,+0;,341,390
null,133,8123,+0;,334,390
null,133,8122,+0;,331,390
null,133,8124,+0;,335,390
null,134,8123,+0;,336,390
null,134,8122,+0;,335,390
null,134,8124,+0;,338,390
null,135,8123,+0;,334,390
null,135,8122,+0;,332,390
null,135,8124,+0;,331,390
null,136,8123,+0;,329,390
null,136,8122,+0;,332,390
null,136,8124,+0;,328,390
null,137,8123,+0;,330,390
null,137,8122,+0;,329,390
null,137,8124,+0;,329,390
null,138,8123,+0;,334,390
null,138,8122,+0;,335,390
null,138,8124,+0;,335,390
null,139,8123,+0;,332,390
null,139,8122,+0;,331,390
null,139,8124,+0;,328,390
null,140,8123,+0;,326,390
null,140,8122,+0;,331,390
null,140,8124,+0;,321,390
null,141,8123,+0;,328,390
null,141,8122,+0;,332,390
null,141,8124,+0;,332,390
null,142,8123,+0;,336,390
null,142,8122,+0;,332,390
null,142,8124,+0;,336,390
null,143,8123,+0;,336,390
null,143,8122,+0;,335,390
null,143,8124,+0;,328,390
null,144,8123,+0;,329,390
null,144,8122,+0;,337,390
null,144,8124,+0;,332,390
null,145,8123,+0;,331,390
null,145,8122,+0;,329,390
null,145,8124,+0;,333,390
null,146,8123,+0;,331,390
null,146,8122,+0;,329,390
null,146,8124,+0;,329,390
null,147,8123,+0;,325,390
null,147,8122,+0;,327,390
null,147,8124,+0;,327,390
null,148,8123,+0;,328,390
null,148,8122,+0;,326,390
null,148,8124,+0;,329,390
null,149,8123,+0;,331,390
null,149,8122,+0;,330,390
null,149,8124,+0;,331,390
null,150,8123,+0;,330,390
null,150,8122,+0;,330,390
null,150,8124,+0;,338,390
null,151,8123,+0;,344,390
null,151,8122,+0;,336,390
null,151,8124,+0;,342,390
null,152,8123,+0;,341,390
null,152,8122,+0;,343,390
null,152,8124,+0;,342,390
null,153,8123,+0;,336,390
null,153,8122,+0;,335,390
null,153,8124,+0;,333,390
null,154,8123,+0;,333,390
null,154,8122,+0;,336,390
null,154,8124,+0;,329,390
null,155,8123,+0;,328,390
null,155,8122,+0;,332,390
null,155,8124,+0;,329,390
null,156,8123,+0;,330,390
null,156,8122,+0;,329,390
null,156,8124,+0;,329,390
null,157,8123,+0;,336,390
null,157,8122,+0;,337,390
null,157,8124,+0;,336,390
null,158,8123,+0;,333,390
null,158,8122,+0;,332,390
null,158,8124,+0;,332,390
null,159,8123,+0;,335,390
null,159,8122,+0;,335,390
null,159,8124,+0;,337,390
null,160,8123,+0;,339,390
null,160,8122,+0;,338,390
null,160,8124,+0;,335,390
null,161,8123,+0;,338,390
null,161,8122,+0;,342,390
null,161,8124,+0;,338,390
null,162,8123,+0;,338,390
null,162,8122,+0;,338,390
null,162,8124,+0;,339,390
null,163,8123,+0;,343,390
null,163,8122,+0;,342,390
null,163,8124,+0;,347,390
null,164,8123,+0;,348,390
null,164,8122,+0;,344,390
null,164,8124,+0;,346,390
null,165,8123,+0;,346,390
null,165,8122,+0;,348,390
null,165,8124,+0;,341,390
null,166,8123,+0;,344,390
null,166,8122,+0;,349,390
null,166,8124,+0;,343,390
null,167,8123,+0;,347,390
null,167,8122,+0;,347,390
null,167,8124,+0;,348,390
null,168,8123,+0;,346,390
null,168,8122,+0;,345,390
null,168,8124,+0;,347,390
null,169,8123,+0;,341,390
null,169,8122,+0;,340,390
null,169,8124,+0;,339,390
null,170,8123,+0;,335,390
null,170,8122,+0;,337,390
null,170,8124,+0;,340,390
null,171,8123,+0;,341,390
null,171,8122,+0;,336,390
null,171,8124,+0;,333,390
null,172,8123,+0;,330,390
null,172,8122,+0;,338,390
null,172,8124,+0;,333,390
null,173,8123,+0;,331,390
null,173,8122,+0;,328,390
null,173,8124,+0;,335,390
null,174,8123,+0;,336,390
null,174,8122,+0;,332,390
null,174,8124,+0;,335,390
null,175,8123,+0;,333,390
null,175,8122,+0;,334,390
null,175,8124,+0;,340,390
null,176,8123,+0;,333,390
null,176,8122,+0;,327,390
null,176,8124,+0;,330,390
null,177,8123,+0;,329,390
null,177,8122,+0;,334,390
null,177,8124,+0;,328,390
null,178,8123,+0;,327,390
null,178,8122,+0;,330,390
null,178,8124,+0;,334,390
null,179,8123,+0;,340,390
null,179,8122,+0;,333,390
null,179,8124,+0;,340,390
null,180,8123,+0;,341,390
null,180,8122,+0;,341,390
null,180,8124,+0;,335,390
null,181,8123,+0;,332,390
null,181,8122,+0;,338,390
null,181,8124,+0;,335,390
null,182,8123,+0;,334,390
null,182,8122,+0;,332,390
null,182,8124,+0;,331,390
null,183,8123,+0;,332,390
null,183,8122,+0;,334,390
null,183,8124,+0;,334,390
null,184,8123,+0;,327,390
null,184,8122,+0;,325,390
null,184,8124,+0;,326,390
null,185,8123,+0;,326,390
null,185,8122,+0;,327,390
null,185,8124,+0;,321,390
null,186,8123,+0;,321,390
null,186,8122,+0;,326,390
null,186,8124,+0;,320,390
null,187,8123,+0;,319,390
null,187,8122,+0;,320,390
null,187,8124,+0;,324,390
null,188,8123,+0;,321,390
null,188,8122,+0;,315,390
null,188,8124,+0;,322,390
null,189,8123,+0;,321,390
null,189,8122,+0;,317,390
null,189,8124,+0;,315,390
null,190,8123,+0;,310,390
null,190,8122,+0;,317,390
null,190,8124,+0;,310,390
null,191,8123,+0;,311,390
null,191,8122,+0;,311,390
null,191,8124,+0;,310,390
null,192,8123,+0;,311,390
null,192,8122,+0;,313,390
null,192,8124,+0;,312,390
null,193,8123,+0;,315,390
null,193,8122,+0;,314,390
null,193,8124,+0;,309,390
null,194,8123,+0;,306,390
null,194,8122,+0;,309,390
null,194,8124,+0;,308,390
null,195,8123,+0;,305,390
null,195,8122,+0;,303,390
null,195,8124,+0;,304,390
null,196,8123,+0;,301,390
null,196,8122,+0;,302,390
null,196,8124,+0;,306,390
null,197,8123,+0;,302,390
null,197,8122,+0;,299,390
null,197,8124,+0;,304,390
null,198,8123,+0;,306,390
null,198,8122,+0;,304,390
null,198,8124,+0;,307,390
null,199,8123,+0;,307,390
null,199,8122,+0;,304,390
null,199,8124,+0;,303,390
null,200,8123,+0;,303,390
null,200,8122,+0;,308,390
null,200,8124,+0;,303,390
null,201,8123,+0;,307,390
null,201,8122,+0;,307,390
null,201,8124,+0;,313,390
null,202,8123,+0;,314,390
null,202,8122,+0;,308,390
null,202,8124,+0;,316,390
null,203,8123,+0;,312,390
null,203,8122,+0;,311,390
null,203,8124,+0;,316,390
null,204,8123,+0;,317,390
null,204,8122,+0;,313,390
null,204,8124,+0;,312,390
null,205,8123,+0;,312,390
null,205,8122,+0;,317,390
null,205,8124,+0;,310,390
null,206,8123,+0;,313,390
null,206,8122,+0;,315,390
null,206,8124,+0;,312,390
null,207,8123,+0;,316,390
null,207,8122,+0;,317,390
null,207,8124,+0;,316,390
null,208,8123,+0;,318,390
null,208,8122,+0;,317,390
null,208,8124,+0;,319,390
null,209,8123,+0;,313,390
null,209,8122,+0;,311,390
null,209,8124,+0;,311,390
null,210,8123,+0;,309,390
null,210,8122,+0;,311,390
null,210,8124,+0;,312,390
null,211,8123,+0;,318,390
null,211,8122,+0;,315,390
null,211,8124,+0;,327,390
null,212,8123,+0;,331,390
null,212,8122,+0;,322,390
null,212,8124,+0;,331,390
null,213,8123,+0;,332,390
null,213,8122,+0;,332,390
null,213,8124,+0;,332,390
null,214,8123,+0;,332,390
null,214,8122,+0;,331,390
null,214,8124,+0;,333,390
null,215,8123,+0;,332,390
null,215,8122,+0;,331,390
null,215,8124,+0;,330,390
null,216,8123,+0;,331,390
null,216,8122,+0;,333,390
null,216,8124,+0;,330,390
null,217,8123,+0;,330,390
null,217,8122,+0;,331,390
null,217,8124,+0;,333,390
null,218,8123,+0;,332,390
null,218,8122,+0;,330,390
null,218,8124,+0;,329,390
null,219,8123,+0;,334,390
null,219,8122,+0;,337,390
null,219,8124,+0;,332,390
null,220,8123,+0;,334,390
null,220,8122,+0;,336,390
null,220,8124,+0;,334,390
null,221,8123,+0;,333,390
null,221,8122,+0;,332,390
null,221,8124,+0;,333,390
null,222,8123,+0;,329,390
null,222,8122,+0;,329,390
null,222,8124,+0;,332,390
null,223,8123,+0;,328,390
null,223,8122,+0;,324,390
null,223,8124,+0;,326,390
null,224,8123,+0;,322,390
null,224,8122,+0;,322,390
null,224,8124,+0;,327,390
null,225,8123,+0;,328,390
null,225,8122,+0;,323,390
null,225,8124,+0;,329,390
null,226,8123,+0;,328,390
null,226,8122,+0;,327,390
null,226,8124,+0;,329,390
null,227,8123,+0;,331,390
null,227,8122,+0;,329,390
null,227,8124,+0;,331,390
null,228,8123,+0;,325,390
null,228,8122,+0;,327,390
null,228,8124,+0;,333,390
null,229,8123,+0;,331,390
null,229,8122,+0;,323,390
null,229,8124,+0;,329,390
null,230,8123,+0;,334,390
null,230,8122,+0;,336,390
null,230,8124,+0;,326,390
null,231,8123,+0;,321,390
null,231,8122,+0;,329,390
null,231,8124,+0;,325,390
null,232,8123,+0;,320,390
null,232,8122,+0;,316,390
null,232,8124,+0;,324,390
null,233,8123,+0;,326,390
null,233,8122,+0;,323,390
null,233,8124,+0;,326,390
null,234,8123,+0;,328,390
null,234,8122,+0;,328,390
null,234,8124,+0;,321,390
null,235,8123,+0;,319,390
null,235,8122,+0;,326,390
null,235,8124,+0;,320,390
null,236,8123,+0;,321,390
null,236,8122,+0;,321,390
null,236,8124,+0;,320,390
null,237,8123,+0;,325,390
null,237,8122,+0;,328,390
null,237,8124,+0;,326,390
null,238,8123,+0;,321,390
null,238,8122,+0;,320,390
null,238,8124,+0;,328,390
null,239,8123,+0;,330,390
null,239,8122,+0;,323,390
null,239,8124,+0;,327,390
null,240,8123,+0;,324,390
null,240,8122,+0;,327,390
null,240,8124,+0;,318,390
null,241,8123,+0;,315,390
null,241,8122,+0;,319,390
null,241,8124,+0;,319,390
null,242,8123,+0;,316,390
null,242,8122,+0;,312,390
null,242,8124,+0;,316,390
null,243,8123,+0;,317,390
null,243,8122,+0;,318,390
null,243,8124,+0;,316,390
null,244,8123,+0;,317,390
null,244,8122,+0;,317,390
null,244,8124,+0;,319,390
null,245,8123,+0;,323,390
null,245,8122,+0;,321,390
null,245,8124,+0;,317,390
null,246,8123,+0;,315,390
null,246,8122,+0;,320,390
null,246,8124,+0;,312,390
null,247,8123,+0;,313,390
null,247,8122,+0;,316,390
null,247,8124,+0;,309,390
null,248,8123,+0;,303,390
null,248,8122,+0;,307,390
null,248,8124,+0;,303,390
null,249,8123,+0;,302,390
null,249,8122,+0;,302,390
null,249,8124,+0;,306,390
null,250,8123,+0;,314,390
null,250,8122,+0;,311,390
null,250,8124,+0;,309,390
null,251,8123,+0;,306,390
null,251,8122,+0;,311,390
null,251,8124,+0;,306,390
null,252,8123,+0;,310,390
null,252,8122,+0;,308,390
null,252,8124,+0;,311,390
null,253,8123,+0;,320,390
null,253,8122,+0;,319,390
null,253,8124,+0;,314,390
null,254,8123,+0;,309,390
null,254,8122,+0;,315,390
null,254,8124,+0;,307,390
null,255,8123,+0;,304,390
null,255,8122,+0;,306,390
null,255,8124,+0;,304,390
null,256,8123,+0;,305,390
null,256,8122,+0;,304,390
null,256,8124,+0;,304,390
null,257,8123,+0;,302,390
null,257,8122,+0;,303,390
null,257,8124,+0;,304,390
null,258,8123,+0;,304,390
null,258,8122,+0;,303,390
null,258,8124,+0;,305,390
null,259,8123,+0;,305,390
null,259,8122,+0;,304,390
null,259,8124,+0;,306,390
null,260,8123,+0;,307,390
null,260,8122,+0;,306,390
null,260,8124,+0;,305,390
null,261,8123,+0;,305,390
null,261,8122,+0;,307,390
null,261,8124,+0;,302,390
null,262,8123,+0;,303,390
null,262,8122,+0;,306,390
null,262,8124,+0;,303,390
null,263,8123,+0;,306,390
null,263,8122,+0;,305,390
null,263,8124,+0;,309,390
null,264,8123,+0;,305,390
null,264,8122,+0;,302,390
null,264,8124,+0;,305,390
null,265,8123,+0;,304,390
null,265,8122,+0;,304,390
null,265,8124,+0;,310,390
null,266,8123,+0;,307,390
null,266,8122,+0;,301,390
null,266,8124,+0;,309,390
null,267,8123,+0;,310,390
null,267,8122,+0;,307,390
null,267,8124,+0;,310,390
null,268,8123,+0;,311,390
null,268,8122,+0;,312,390
null,268,8124,+0;,309,390
null,269,8123,+0;,311,390
null,269,8122,+0;,313,390
null,269,8124,+0;,307,390
null,270,8123,+0;,304,390
null,270,8122,+0;,308,390
null,270,8124,+0;,305,390
null,271,8123,+0;,304,390
null,271,8122,+0;,303,390
null,271,8124,+0;,306,390
null,272,8123,+0;,311,390
null,272,8122,+0;,309,390
null,272,8124,+0;,313,390
null,273,8123,+0;,306,390
null,273,8122,+0;,305,390
null,273,8124,+0;,307,390
null,274,8123,+0;,310,390
null,274,8122,+0;,307,390
null,274,8124,+0;,309,390
null,275,8123,+0;,308,390
null,275,8122,+0;,308,390
null,275,8124,+0;,307,390
null,276,8123,+0;,308,390
null,276,8122,+0;,309,390
null,276,8124,+0;,307,390
null,277,8123,+0;,313,390
null,277,8122,+0;,314,390
null,277,8124,+0;,311,390
null,278,8123,+0;,306,390
null,278,8122,+0;,308,390
null,278,8124,+0;,314,390
null,279,8123,+0;,317,390
null,279,8122,+0;,309,390
null,279,8124,+0;,318,390
null,280,8123,+0;,312,390
null,280,8122,+0;,311,390
null,280,8124,+0;,313,390
null,281,8123,+0;,308,390
null,281,8122,+0;,307,390
null,281,8124,+0;,305,390
null,282,8123,+0;,304,390
null,282,8122,+0;,307,390
null,282,8124,+0;,308,390
null,283,8123,+0;,308,390
null,283,8122,+0;,304,390
null,283,8124,+0;,312,390
null,284,8123,+0;,311,390
null,284,8122,+0;,307,390
null,284,8124,+0;,312,390
null,285,8123,+0;,305,390
null,285,8122,+0;,304,390
null,285,8124,+0;,299,390
null,286,8123,+0;,299,390
null,286,8122,+0;,305,390
null,286,8124,+0;,294,390
null,287,8123,+0;,294,390
null,287,8122,+0;,299,390
null,287,8124,+0;,294,390
null,288,8123,+0;,297,390
null,288,8122,+0;,297,390
null,288,8124,+0;,290,390
null,289,8123,+0;,287,390
null,289,8122,+0;,294,390
null,289,8124,+0;,288,390
null,290,8123,+0;,296,390
null,290,8122,+0;,296,390
null,290,8124,+0;,295,390
null,291,8123,+0;,291,390
null,291,8122,+0;,292,390
null,291,8124,+0;,290,390
null,292,8123,+0;,287,390
null,292,8122,+0;,288,390
null,292,8124,+0;,290,390
null,293,8123,+0;,295,390
null,293,8122,+0;,292,390
null,293,8124,+0;,296,390
null,294,8123,+0;,288,390
null,294,8122,+0;,288,390
null,294,8124,+0;,291,390
null,295,8123,+0;,294,390
null,295,8122,+0;,292,390
null,295,8124,+0;,290,390
null,296,8123,+0;,296,390
null,296,8122,+0;,300,390
null,296,8124,+0;,296,390
null,297,8123,+0;,296,390
null,297,8122,+0;,293,390
null,297,8124,+0;,297,390
null,298,8123,+0;,292,390
null,298,8122,+0;,292,390
null,298,8124,+0;,295,390
null,299,8123,+0;,295,390
null,299,8122,+0;,289,390
null,299,8124,+0;,294,390
null,300,8123,+0;,296,390
null,300,8122,+0;,296,390
null,300,8124,+0;,298,390
null,301,8123,+0;,304,390
null,301,8122,+0;,302,390
null,301,8124,+0;,305,390
null,302,8123,+0;,305,390
null,302,8122,+0;,304,390
null,302,8124,+0;,304,390
null,303,8123,+0;,304,390
null,303,8122,+0;,305,390
null,303,8124,+0;,306,390
null,304,8123,+0;,304,390
null,304,8122,+0;,302,390
null,304,8124,+0;,308,390
null,305,8123,+0;,308,390
null,305,8122,+0;,305,390
null,305,8124,+0;,304,390
null,306,8123,+0;,303,390
null,306,8122,+0;,307,390
null,306,8124,+0;,309,390
null,307,8123,+0;,307,390
null,307,8122,+0;,302,390
null,307,8124,+0;,306,390
null,308,8123,+0;,309,390
null,308,8122,+0;,310,390
null,308,8124,+0;,310,390
null,309,8123,+0;,306,390
